title,price,link,image,gender,color,season,style,pattern
SHORT DRESS WITH BOWS - Pink by Zara,39.95 EUR,https://www.zara.com/ww/en/short-dress-with-bows-p02888777.html,https://static.zara.net/stdstatic/6.70.1/images/transparent-background.png,unisex,pink,summer,Unknown,Unknown
CUT-OUT MINI DRESS - Ecru by Zara,39.95 EUR,https://www.zara.com/ww/en/cut-out-mini-dress-p03576344.html,https://static.zara.net/stdstatic/6.70.1/images/transparent-background.png,unisex,unknown,all-season,Unknown,Unknown
VOLUMINOUS SHORT DRESS - Butter by Zara,25.95 EUR,https://www.zara.com/ww/en/voluminous-short-dress-p04174016.html,https://static.zara.net/stdstatic/6.70.1/images/transparent-background.png,unisex,unknown,summer,Unknown,Unknown
VOLUMINOUS SHORT DRESS - Black by Zara,25.95 EUR,https://www.zara.com/ww/en/voluminous-short-dress-p04174016.html,https://static.zara.net/stdstatic/6.70.1/images/transparent-background.png,unisex,black,summer,Unknown,Unknown
MIDI DRESS WITH CUTWORK EMBROIDERY - Dark khaki by Zara,55.95 EUR,https://www.zara.com/ww/en/midi-dress-with-cutwork-embroidery-p03269836.html,https://static.zara.net/stdstatic/6.70.1/images/transparent-background.png,unisex,unknown,all-season,Unknown,Unknown
RUSTIC MIDI DRESS - Ecru by Zara,32.95 EUR,https://www.zara.com/ww/en/rustic-midi-dress-p05584222.html,https://static.zara.net/stdstatic/6.70.1/images/transparent-background.png,unisex,unknown,all-season,Unknown,Unknown
RUSTIC MIDI DRESS - Orange / Yellow by Zara,32.95 EUR,https://www.zara.com/ww/en/rustic-midi-dress-p05584222.html,https://static.zara.net/stdstatic/6.70.1/images/transparent-background.png,unisex,yellow,all-season,Unknown,Unknown
TRF HALTER DENIM DRESS - Dark indigo by Zara,39.95 EUR,https://www.zara.com/ww/en/trf-halter-denim-dress-p06929186.html,https://static.zara.net/stdstatic/6.70.1/images/transparent-background.png,unisex,unknown,all-season,Unknown,Unknown
ZW COLLECTION LINEN BLEND TRIM DRESS - Ecru by Zara,79.95 EUR,https://www.zara.com/ww/en/zw-collection-linen-blend-trim-dress-p03336586.html,https://static.zara.net/stdstatic/6.70.1/images/transparent-background.png,unisex,unknown,summer,Unknown,Unknown
LONG CROCHET DRESS - White by Zara,45.95 EUR,https://www.zara.com/ww/en/long-crochet-dress-p01067161.html,https://static.zara.net/stdstatic/6.70.1/images/transparent-background.png,unisex,white,all-season,Unknown,Unknown
ASYMMETRIC LACE DRESS - Oyster-white by Zara,59.95 EUR,https://www.zara.com/ww/en/asymmetric-lace-dress-p01067517.html,https://static.zara.net/stdstatic/6.70.1/images/transparent-background.png,unisex,white,all-season,Unknown,Unknown
CUT-OUT KNIT DRESS - Lime by Zara,49.95 EUR,https://www.zara.com/ww/en/cut-out-knit-dress-p02756013.html,https://static.zara.net/stdstatic/6.70.1/images/transparent-background.png,unisex,unknown,all-season,Unknown,Unknown
